===============================================================================
 Language            Files        Lines         Code     Comments       Blanks
===============================================================================
 Ada                  6741      1592733       870447       417360       304926
 Alex                  238        19754        17011            0         2743
 Assembly                4         2508         1509          458          541
 GNU Style Assembly    617       109965        80636        18577        10752
 Autoconf              221       190384       154558        13372        22454
 Automake              115        20622        16112         1838         2672
 BASH                    9         1059          720          198          141
 Batch                   3           39           30            1            8
 C                   85254      4628197      3065955       963012       599230
 C Header             4695      1194895       805246       230697       158952
 CMake                   3          413          310           44           59
 C#                      9         1615          879          506          230
 COBOL                 218         9792         8206          839          747
 C++                 12030      4042457      2830495       690507       521455
 C++ Header            343        52378        30774        12529         9075
 CSS                     1            1            1            0            0
 D                    5242      1035260       742647       172920       119693
 Dream Maker             1            8            5            0            3
 Emacs Lisp              2          352          253           53           46
 FORTRAN Legacy        579        23596        14201         7508         1887
 FORTRAN Modern       8976       436624       321325        61159        54140
 GDB Script              2           18           15            1            2
 Go                   5396      1064396       794699       172112        97585
 Happy                   2        13923        12776            0         1147
 Haskell                75          296          263            0           33
 HTML                  107        28081        27731           35          315
 JSON                   14         6940         6441            0          499
 Makefile               48         1583         1024          207          352
 Markdown              498       556632            0       499449        57183
 Module-Definition     676       125473       100765          447        24261
 MSBuild                 1          141          140            0            1
 OCaml                   1          358          285           37           36
 Objective-C           551        26070        17594         3436         5040
 Objective-C++         386        18153        12182         2422         3549
 Pan                     4         2816         2140          329          347
 Pascal                  4         1443         1016          216          211
 Perl                   20         4758         3134         1031          593
 Python                102        22740        16276         3073         3391
 RPM Specfile            4           27           25            0            2
 ReStructuredText       92        66259        47067            0        19192
 Rust                 1547       159911       138655         5449        15807
 Shell                 103        32654        24463         5016         3175
 SVG                    48        20540        20414          126            0
 SWIG                    8           84           55           12           17
 TeX                     4        12436         7912         3609          915
 Plain Text           1024       526465            0       512631        13834
 TOML                   12          497          392           64           41
 Vim script              4          314          248           35           31
 Visual Studio Pro|     30        14597        14597            0            0
 Visual Studio Sol|      6          655          650            0            5
 XML                    62        58822        54986          360         3476
===============================================================================
 Total              136132     16129734     10267265      3801675      2060794
===============================================================================
