===============================================================================
 Language            Files        Lines         Code     Comments       Blanks
===============================================================================
 Ada                  6563      1530397       842843       394036       293518
 Alex                  223        18903        16270            0         2633
 Assembly                4         2508         1509          458          541
 GNU Style Assembly    606       105248        77104        17988        10156
 Autoconf              195       164280       131836        12187        20257
 Automake              103        18415        14462         1561         2392
 BASH                    9         1004          685          191          128
 Batch                   2            4            4            0            0
 C                   63229      5549809      3853635       972726       723448
 C Header             3635       950081       633106       189927       127048
 CMake                   3          413          310           44           59
 C#                      9         1615          879          506          230
 C++                  9741      1061055       692559       228279       140217
 C++ Header            339        51138        29951        12356         8831
 CSS                     1            1            1            0            0
 D                    3248       685188       491415       115081        78692
 FORTRAN Legacy        548        21400        12944         6841         1615
 FORTRAN Modern       7325       293692       212061        44639        36992
 GDB Script              2           18           15            1            2
 Go                   5079       993230       744697       157435        91098
 Happy                   1          434          378            0           56
 Haskell                60          235          208            0           27
 HTML                  114        28028        27678           35          315
 JSON                   12          493          493            0            0
 Makefile               39         1414          914          195          305
 Markdown              443       476524            0       426617        49907
 Module-Definition     171        54416        48048           64         6304
 MSBuild                 1          141          140            0            1
 OCaml                   1          358          285           37           36
 Objective-C           540        25572        17252         3355         4965
 Objective-C++         375        17827        11969         2372         3486
 Pan                     3         2459         1843          302          314
 Pascal                  4         1443         1016          216          211
 Perl                   19         4529         2995          969          565
 Python                 48        14148        10282         1904         1962
 RPM Specfile           11           67           64            0            3
 ReStructuredText       67        60942        43136            0        17806
 Shell                  76        30258        22817         4567         2874
 Standard ML (SML)       1          277          215           36           26
 SVG                    48        20540        20414          126            0
 SWIG                    3           20            9            9            2
 TeX                     4        10691         6557         3308          826
 Plain Text            525       441091            0       433201         7890
 Vim script              4          314          248           35           31
 Visual Studio Pro|     30        14597        14597            0            0
 Visual Studio Sol|      6          655          650            0            5
 XML                    61        56663        52953          365         3345
===============================================================================
 Total              103531     12712535      8041447      3031969      1639119
===============================================================================
