===============================================================================
 Language            Files        Lines         Code     Comments       Blanks
===============================================================================
 Ada                  6760      1593933       871146       417631       305156
 Alex                  238        19754        17011            0         2743
 Assembly                4         2508         1509          458          541
 GNU Style Assembly    617       109965        80636        18577        10752
 Autoconf              221       190487       154613        13396        22478
 Automake              115        20642        16132         1838         2672
 BASH                    9         1059          720          198          141
 Batch                   3           39           30            1            8
 C                   85553      4641277      3075710       964554       601013
 C Header             4714      1197049       806856       230971       159222
 CMake                   3          413          310           44           59
 C#                      9         1615          879          506          230
 COBOL                 364        16807        14304         1141         1362
 C++                 12045      4047523      2834263       691387       521873
 C++ Header            343        52378        30774        12529         9075
 CSS                     1            1            1            0            0
 D                    5242      1035260       742647       172920       119693
 Dream Maker             1            8            5            0            3
 Emacs Lisp              2          352          253           53           46
 FORTRAN Legacy        579        23596        14201         7508         1887
 FORTRAN Modern       9020       439694       323666        61526        54502
 GDB Script              2           18           15            1            2
 Go                   5396      1064396       794699       172112        97585
 Happy                   2        14411        13240            0         1171
 Haskell                75          296          263            0           33
 HTML                  107        28100        27750           35          315
 JSON                   14         6940         6441            0          499
 Makefile               48         1583         1024          207          352
 Markdown              498       556745            0       499550        57195
 Module-Definition     684       125863       101034          447        24382
 MSBuild                 1          141          140            0            1
 OCaml                   1          358          285           37           36
 Objective-C           551        26070        17594         3436         5040
 Objective-C++         386        18153        12182         2422         3549
 Pan                     4         2816         2140          329          347
 Pascal                  4         1443         1016          216          211
 Perl                   20         4758         3134         1031          593
 Python                102        22740        16276         3073         3391
 RPM Specfile            4           27           25            0            2
 ReStructuredText       92        66229        47054            0        19175
 Rust                 1547       159911       138655         5449        15807
 Shell                 103        32654        24463         5016         3175
 SVG                    48        20540        20414          126            0
 SWIG                    8           84           55           12           17
 TeX                     4        12436         7912         3609          915
 Plain Text           1024       526476            0       512642        13834
 TOML                   12          497          392           64           41
 Vim script              4          314          248           35           31
 Visual Studio Pro|     30        14597        14597            0            0
 Visual Studio Sol|      6          655          650            0            5
 XML                    62        58840        55004          360         3476
===============================================================================
 Total              136682     16162451     10292368      3805447      2064636
===============================================================================
