===============================================================================
 Language            Files        Lines         Code     Comments       Blanks
===============================================================================
 Ada                  6674      1526564       835792       398893       291879
 Alex                  229        19682        16949            0         2733
 Assembly                4         2508         1509          458          541
 GNU Style Assembly    634       111147        81299        19029        10819
 Autoconf              211       184875       149478        12857        22540
 Automake              113        20364        15919         1804         2641
 BASH                    9         1056          719          198          139
 Batch                   2            4            4            0            0
 C                   79370      4293687      2876905       859910       556872
 C Header             4388      1141678       766836       222180       152662
 CMake                   3          413          310           44           59
 C#                      9         1615          879          506          230
 C++                 11648      3816857      2658318       663519       495020
 C++ Header            343        51983        30465        12495         9023
 CSS                     1            1            1            0            0
 D                    5019       981308       701882       168230       111196
 Dream Maker             1            8            5            0            3
 Emacs Lisp              2          352          253           53           46
 FORTRAN Legacy        565        22413        13727         7006         1680
 FORTRAN Modern       8526       384204       278081        57914        48209
 GDB Script              2           18           15            1            2
 Go                   5394      1064225       794543       172103        97579
 Haskell                71          260          232            0           28
 HTML                  114        28987        28623           35          329
 JSON                   12          493          493            0            0
 Makefile               46         1545         1003          198          344
 Markdown              490       553607            0       496911        56696
 Module-Definition     634       120568        96485          452        23631
 MSBuild                 1          141          140            0            1
 OCaml                   1          358          285           37           36
 Objective-C           549        25884        17454         3408         5022
 Objective-C++         384        18051        12106         2413         3532
 Pan                     4         2811         2135          330          346
 Pascal                  4         1443         1016          216          211
 Perl                   20         4737         3122         1022          593
 Python                 67        19760        14240         2654         2866
 RPM Specfile            5           31           29            0            2
 ReStructuredText       70        61819        43909            0        17910
 Rust                 1042        21404        16085         1587         3732
 Shell                 100        32089        24049         4957         3083
 Standard ML (SML)       1          277          215           36           26
 SVG                    48        20540        20414          126            0
 SWIG                    8           84           55           12           17
 TeX                     4        12436         7912         3609          915
 Plain Text           1020       515375            0       501667        13708
 Vim script              4          314          248           35           31
 Visual Studio Pro|     30        14597        14597            0            0
 Visual Studio Sol|      6          655          650            0            5
 XML                    62        58731        54896          360         3475
===============================================================================
 Total              127944     15141959      9584282      3617265      1940412
===============================================================================
