===============================================================================
 Language            Files        Lines         Code     Comments       Blanks
===============================================================================
 Ada                  5095      1368205       756616       347091       264498
 Alex                  187        16414        14172            0         2242
 Assembly                6         2613         1598          458          557
 GNU Style Assembly    533        95839        70233        16733         8873
 Autoconf              256       180547       145029        12901        22617
 Automake              141        32000        26231         1629         4140
 BASH                    8         1717         1331          188          198
 Batch                   2            4            4            0            0
 C                   37640      3780536      2734248       549291       496997
 C Header            10216      1106816       787012       169562       150242
 CMake                   1          211          153           31           27
 C#                      9         1615          879          506          230
 C++                  7070       677122       431833       152930        92359
 C++ Header            331        47621        27521        11801         8299
 CSS                     9         1903         1428          177          298
 FORTRAN Legacy        452        16003        10234         4604         1165
 FORTRAN Modern       4810       188394       134790        30670        22934
 GDB Script              2           18           15            1            2
 Go                   2416       433464       334840        57746        40878
 Happy                   2         1203         1096            0          107
 Haskell                52          173          156            0           17
 HTML                  323       182974       163880         6466        12628
 Java                 6347      1497635       684274       679165       134196
 JavaScript              2          223          122           89           12
 Makefile               37         3540         2176          479          885
 Markdown              353       389753            0       347813        41940
 Module-Definition     129        36684        32325           38         4321
 MSBuild                 1          141          140            0            1
 OCaml                   3         3027         2409          349          269
 Objective-C           526        24971        16907         3168         4896
 Objective-C++         366        17352        11735         2185         3432
 Pan                     3         2352         1755          296          301
 Pascal                  4         1443         1016          216          211
 Perl                   26         6725         4625         1340          760
 Python                 16         5893         4208          742          943
 RPM Specfile            4           35           31            0            4
 ReStructuredText       64        64175        45720            0        18455
 Shell                  70        45516        34497         6925         4094
 SVG                    48        20540        20414          126            0
 SWIG                    3           20            9            9            2
 TCL                     1          577          403          106           68
 TeX                     4        19964        12163         6249         1552
 Plain Text            105       325591            0       322109         3482
 Visual Studio Pro|     12         7020         7020            0            0
 Visual Studio Sol|      3          300          298            0            2
 XSL                    20         3804         2805          516          483
 XML                    60        50822        47395          380         3047
===============================================================================
 Total               77768     10663495      6575746      2735085      1352664
===============================================================================
