===============================================================================
 Language            Files        Lines         Code     Comments       Blanks
===============================================================================
 Ada                  5366      1407835       777351       357993       272491
 Alex                  205        17819        15359            0         2460
 Assembly                4         2508         1509          458          541
 GNU Style Assembly    540        98752        72512        16776         9464
 Autoconf              181       146073       116116        11270        18687
 Automake               97        16148        12833         1309         2006
 BASH                    9         1756         1355          198          203
 Batch                   2            4            4            0            0
 C                   42514      4129748      2990036       600502       539210
 C Header             2784       727185       460439       167067        99679
 CMake                   1          249          186           31           32
 C#                      9         1615          879          506          230
 C++                  7768       709493       445304       166251        97938
 C++ Header            333        48060        27825        11862         8373
 CSS                     1            1            1            0            0
 FORTRAN Legacy        472        16400        10528         4676         1196
 FORTRAN Modern       5619       226618       163935        34498        28185
 GDB Script              2           18           15            1            2
 Go                   3061       611464       467782        86202        57480
 Happy                   1          409          353            0           56
 Haskell                55          193          173            0           20
 HTML                  114        27006        26654           35          317
 Makefile               36         1348          796          275          277
 Markdown              378       397289            0       353984        43305
 Module-Definition     149        48701        42900           63         5738
 MSBuild                 1          141          140            0            1
 OCaml                   1          358          285           37           36
 Objective-C           530        25137        17013         3213         4911
 Objective-C++         368        17483        11815         2227         3441
 Pan                     3         2386         1778          298          310
 Pascal                  4         1443         1016          216          211
 Perl                   19         4272         2786          938          548
 Python                 22         7741         5515         1007         1219
 RPM Specfile            3           22           21            0            1
 ReStructuredText       64        60677        43185            0        17492
 Shell                  62        27734        20862         4223         2649
 Standard ML (SML)       1          277          215           36           26
 SVG                    48        20540        20414          126            0
 SWIG                    3           20            9            9            2
 TeX                     3        10673         6544         3308          821
 Plain Text            104       368762            0       363419         5343
 Vim script              1          139          108           22            9
 Visual Studio Pro|     30        14597        14597            0            0
 Visual Studio Sol|      6          655          650            0            5
 XML                    61        52902        49203          392         3307
===============================================================================
 Total               71035      9252651      5831001      2193428      1228222
===============================================================================
