===============================================================================
 Language            Files        Lines         Code     Comments       Blanks
===============================================================================
 Ada                  5820      1433166       785672       369282       278212
 Alex                  224        18558        15981            0         2577
 Assembly                4         2508         1509          458          541
 GNU Style Assembly    588       103380        75841        17614         9925
 Autoconf              193       155075       124223        11653        19199
 Automake              100        17360        13669         1468         2223
 BASH                   11         1121          771          187          163
 Batch                   2            4            4            0            0
 C                   49281      4683270      3397973       674094       611203
 C Header             3031       796854       523801       164056       108997
 CMake                   1          249          186           31           32
 C#                      9         1615          879          506          230
 C++                  8551       801757       497652       191448       112657
 C++ Header            334        48098        27839        11882         8377
 CSS                     1            1            1            0            0
 D                    2853       663973       477680       109642        76651
 FORTRAN Legacy        521        20861        12693         6603         1565
 FORTRAN Modern       6418       255051       184276        39047        31728
 GDB Script              2           18           15            1            2
 Go                   4091       802306       604564       121614        76128
 Happy                   1          409          353            0           56
 Haskell                55          193          173            0           20
 HTML                  114        27863        27510           35          318
 JSON                    9          437          437            0            0
 Makefile               35         1246          794          176          276
 Markdown              415       438953            0       391702        47251
 Module-Definition     160        51702        45547           63         6092
 MSBuild                 1          141          140            0            1
 OCaml                   1          358          285           37           36
 Objective-C           530        25133        17013         3214         4906
 Objective-C++         368        17488        11816         2234         3438
 Pan                     3         2458         1842          302          314
 Pascal                  4         1443         1016          216          211
 Perl                   18         4278         2790          939          549
 Python                 31         9504         6810         1256         1438
 RPM Specfile           10           58           56            0            2
 ReStructuredText       65        62061        44012            0        18049
 Shell                  67        28736        21549         4458         2729
 Standard ML (SML)       1          277          215           36           26
 SVG                    48        20540        20414          126            0
 SWIG                    3           20            9            9            2
 TeX                     4        10691         6557         3308          826
 Plain Text            320       408803            0       403484         5319
 Vim script              4          314          248           35           31
 Visual Studio Pro|     30        14597        14597            0            0
 Visual Studio Sol|      6          655          650            0            5
 XML                    62        54782        51038          356         3388
===============================================================================
 Total               84400     10988365      7021100      2531572      1435693
===============================================================================
