===============================================================================
 Language            Files        Lines         Code     Comments       Blanks
===============================================================================
 Ada                  5499      1412121       774306       363636       274179
 Alex                  221        18324        15775            0         2549
 Assembly                4         2508         1509          458          541
 GNU Style Assembly    578       101882        75089        16987         9806
 Autoconf              179       148658       118508        11322        18828
 Automake               96        16510        13177         1284         2049
 BASH                   11         1084          744          181          159
 Batch                   2            4            4            0            0
 C                   46274      4426074      3203893       641991       580190
 C Header             2900       759511       493519       160960       105032
 CMake                   1          249          186           31           32
 C#                      9         1615          879          506          230
 C++                  8044       722454       444031       177620       100803
 C++ Header            334        48089        27830        11882         8377
 CSS                     1            1            1            0            0
 FORTRAN Legacy        499        17507        11177         4945         1385
 FORTRAN Modern       5978       238232       172717        36073        29442
 GDB Script              2           18           15            1            2
 Go                   3710       725171       548251       108473        68447
 Happy                   1          409          353            0           56
 Haskell                55          193          173            0           20
 HTML                  114        27251        26899           35          317
 JSON                    4          384          384            0            0
 Makefile               35         1233          787          174          272
 Markdown              425       451783            0       402648        49135
 Module-Definition     153        53003        46748           63         6192
 MSBuild                 1          141          140            0            1
 OCaml                   1          358          285           37           36
 Objective-C           530        25133        17013         3214         4906
 Objective-C++         368        17484        11815         2232         3437
 Pan                     3         2389         1780          298          311
 Pascal                  4         1443         1016          216          211
 Perl                   18         4270         2788          934          548
 Python                 25         8562         6126         1095         1341
 RPM Specfile            3           22           21            0            1
 ReStructuredText       65        61782        43831            0        17951
 Shell                  63        28188        21210         4299         2679
 Standard ML (SML)       1          277          215           36           26
 SVG                    48        20540        20414          126            0
 SWIG                    3           20            9            9            2
 TeX                     4        10691         6557         3308          826
 Plain Text            148       368768            0       363447         5321
 Vim script              1          139          108           22            9
 Visual Studio Pro|     30        14597        14597            0            0
 Visual Studio Sol|      6          655          650            0            5
 XML                    61        53291        49581          353         3357
===============================================================================
 Total               76512      9793018      6175111      2318896      1299011
===============================================================================
