===============================================================================
 Language            Files        Lines         Code     Comments       Blanks
===============================================================================
 Ada                  6243      1476065       810047       379915       286103
 Alex                  218        18778        16166            0         2612
 Assembly                4         2508         1509          458          541
 GNU Style Assembly    594       104025        76271        17735        10019
 Autoconf              190       159090       127577        11847        19666
 Automake              100        17432        13706         1480         2246
 BASH                   10         1142          795          199          148
 Batch                   2            4            4            0            0
 C                   58728      5343293      3710446       937024       695823
 C Header             3197       881973       588235       173964       119774
 CMake                   1          249          186           31           32
 C#                      9         1615          879          506          230
 C++                  9304       910979       570627       212341       128011
 C++ Header            334        48448        28054        11881         8513
 CSS                     1            1            1            0            0
 D                    2939       674174       484461       111876        77837
 FORTRAN Legacy        535        21012        12749         6698         1565
 FORTRAN Modern       6869       275752       199284        41785        34683
 GDB Script              2           18           15            1            2
 Go                   4115       898150       678460       138221        81469
 Happy                   1          434          378            0           56
 Haskell                59          217          191            0           26
 HTML                  114        28187        27834           35          318
 JSON                    9          437          437            0            0
 Makefile               39         1395          898          193          304
 Markdown              422       462901            0       414144        48757
 Module-Definition     169        52936        46766           64         6106
 MSBuild                 1          141          140            0            1
 OCaml                   1          358          285           37           36
 Objective-C           533        25167        17046         3209         4912
 Objective-C++         368        17491        11818         2232         3441
 Pan                     3         2459         1843          302          314
 Pascal                  4         1443         1016          216          211
 Perl                   18         4283         2795          939          549
 Python                 35        11315         8117         1559         1639
 RPM Specfile           10           58           56            0            2
 ReStructuredText       65        61884        43836            0        18048
 Shell                  73        29495        22131         4538         2826
 Standard ML (SML)       1          277          215           36           26
 SVG                    48        20540        20414          126            0
 SWIG                    3           20            9            9            2
 TeX                     4        10691         6557         3308          826
 Plain Text            532       433811            0       426618         7193
 Vim script              4          314          248           35           31
 Visual Studio Pro|     30        14597        14597            0            0
 Visual Studio Sol|      6          655          650            0            5
 XML                    61        56898        53166          365         3367
===============================================================================
 Total               96008     12073112      7600915      2903927      1568270
===============================================================================
