===============================================================================
 Language            Files        Lines         Code     Comments       Blanks
===============================================================================
 Ada                  1293       559068       291653       157962       109453
 Alex                   72         7115         6147            0          968
 Assembly               66        20681        18327          668         1686
 GNU Style Assembly     42        11390         8562         1752         1076
 Autoconf               90        46839        34349         5925         6565
 Automake               19         3793         2877          532          384
 BASH                    2          200          124           41           35
 Batch                   1            1            1            0            0
 C                    6813      1106073       775064       179322       151687
 C Header             1317       321972       181752        93816        46404
 C++                   556       112066        88526        12064        11476
 CSS                     2           30           30            0            0
 Emacs Lisp              1           84           59           21            4
 FORTRAN Legacy        147        10437         6571         3076          790
 GLSL                    1           77           61            0           16
 Happy                   5        22331        19680            0         2651
 HTML                   36        24067        22494           93         1480
 Java                 1412       220939        94128       102953        23858
 Makefile                6         2340         1454          250          636
 Markdown               43       192568            0       172652        19916
 Module-Definition      35        13936        12219           22         1695
 Objective-C           102         3992         2821          381          790
 Pan                     2          392          296           26           70
 Pascal                  2          703          529           76           98
 Perl                    9         2188         1629          338          221
 Shell                  33        17540        12801         2975         1764
 TeX                     1         6325         3739         1977          609
 Plain Text             22        15382            0        14994          388
 WebAssembly             1          103           76            0           27
 XML                     1          789          740           18           31
===============================================================================
 Total               12132      2723421      1586709       751934       384778
===============================================================================
