===============================================================================
 Language            Files        Lines         Code     Comments       Blanks
===============================================================================
 Ada                  5288      1387121       765811       352769       268541
 Alex                  205        17067        14709            0         2358
 Assembly                6         2613         1598          458          557
 GNU Style Assembly    544       100206        73952        16817         9437
 Autoconf              258       185887       149900        13094        22893
 Automake              142        32704        26810         1695         4199
 BASH                    8         1734         1346          189          199
 Batch                   2            4            4            0            0
 C                   41154      4033314      2908606       593375       531333
 C Header            10318      1137603       806315       176715       154573
 CMake                   1          249          186           31           32
 C#                      9         1615          879          506          230
 C++                  7472       757362       492627       165107        99628
 C++ Header            331        47625        27525        11801         8299
 CSS                     9         1903         1428          177          298
 FORTRAN Legacy        462        16154        10339         4636         1179
 FORTRAN Modern       5193       210385       151730        32450        26205
 GDB Script              2           18           15            1            2
 Go                   2706       521199       401525        70612        49062
 Happy                   2         1203         1096            0          107
 Haskell                52          173          156            0           17
 HTML                  325       242991       220788         6463        15740
 Java                 6347      1497635       684274       679165       134196
 JavaScript              2          223          122           89           12
 Makefile               38         3552         2186          480          886
 Markdown              372       409290            0       365201        44089
 Module-Definition     135        41250        36409           46         4795
 MSBuild                 1          141          140            0            1
 OCaml                   3         3039         2420          349          270
 Objective-C           528        25088        16974         3208         4906
 Objective-C++         367        17444        11784         2221         3439
 Pan                     3         2377         1773          297          307
 Pascal                  4         1443         1016          216          211
 Perl                   26         6724         4625         1339          760
 Python                 17         6785         4870          824         1091
 RPM Specfile            4           35           31            0            4
 ReStructuredText       66        65655        46741            0        18914
 Shell                  70        45997        34856         6999         4142
 Standard ML (SML)       1          277          215           36           26
 SVG                    48        20540        20414          126            0
 SWIG                    3           20            9            9            2
 TCL                     1          577          403          106           68
 TeX                     4        19964        12163         6249         1552
 Plain Text            111       348294            0       344864         3430
 Vim script              1          139          108           22            9
 Visual Studio Pro|     18         9529         9529            0            0
 Visual Studio Sol|      4          417          414            0            3
 XSL                    20         3804         2805          516          483
 XML                    61        51695        48112          384         3199
===============================================================================
 Total               82744     11281064      6999738      2859642      1421684
===============================================================================
