===============================================================================
 Language            Files        Lines         Code     Comments       Blanks
===============================================================================
 Alex                   48         6674         5768            0          906
 Assembly               52        17993        15932          557         1504
 GNU Style Assembly     34         6701         5084          854          763
 Autoconf               85        38738        27242         5762         5734
 Automake               16         2845         2044          469          332
 BASH                    2          200          124           41           35
 Batch                   1            1            1            0            0
 C                    5664       983040       689863       158437       134740
 C Header             1316       381610       253832        85558        42220
 C++                   269        86783        71307         7832         7644
 CSS                     2           26           26            0            0
 Emacs Lisp              1           84           59           21            4
 FORTRAN Legacy        101         7424         4748         2145          531
 GLSL                    1           77           61            0           16
 Happy                   4        21573        19046            0         2527
 HTML                   21         5560         5154           72          334
 Java                  945       121446        65603        40819        15024
 Makefile                5         2167         1325          242          600
 Markdown               38       161784            0       145097        16687
 Module-Definition      30        12425        10873           22         1530
 Objective-C            79         3277         2350          288          639
 Pan                     2          380          284           27           69
 Pascal                  2          703          529           76           98
 Perl                    6         1823         1276          295          252
 Shell                  29        12661         9219         2236         1206
 TeX                     1         6257         3704         1939          614
 Plain Text             20         4363            0         4016          347
 WebAssembly             1          103           76            0           27
===============================================================================
 Total                8775      1886718      1195530       456805       234383
===============================================================================
