===============================================================================
 Language            Files        Lines         Code     Comments       Blanks
===============================================================================
 Ada                  6608      1517910       831238       396603       290069
 Alex                  228        19675        16943            0         2732
 Assembly                4         2508         1509          458          541
 GNU Style Assembly    625       109421        80235        18625        10561
 Autoconf              209       179488       144421        13011        22056
 Automake              109        19692        15442         1687         2563
 BASH                    9         1039          705          198          136
 Batch                   2            4            4            0            0
 C                   70880      3645519      2460179       698897       486443
 C Header             4097      1100447       739799       211805       148843
 CMake                   3          413          310           44           59
 C#                      9         1615          879          506          230
 C++                 11369      3647908      2530415       641209       476284
 C++ Header            342        51307        29977        12429         8901
 CSS                     1            1            1            0            0
 D                    4820       949972       676350       164742       108880
 Dream Maker             1            8            5            0            3
 FORTRAN Legacy        561        21988        13371         6957         1660
 FORTRAN Modern       8188       360443       259811        55371        45261
 GDB Script              2           18           15            1            2
 Go                   5393      1064172       794509       172092        97571
 Happy                   1          434          378            0           56
 Haskell                61          237          210            0           27
 HTML                  114        28509        28155           35          319
 JSON                   12          493          493            0            0
 Makefile               46         1530          992          195          343
 Markdown              459       510483            0       457951        52532
 Module-Definition     607       111784        88795          452        22537
 MSBuild                 1          141          140            0            1
 OCaml                   1          358          285           37           36
 Objective-C           548        25858        17438         3404         5016
 Objective-C++         383        18032        12093         2412         3527
 Pan                     3         2553         1914          316          323
 Pascal                  4         1443         1016          216          211
 Perl                   20         4696         3107         1010          579
 Python                 57        17231        12536         2279         2416
 RPM Specfile           11           59           55            0            4
 ReStructuredText       69        61091        43387            0        17704
 Rust                  743        13859        10564          970         2325
 Shell                 101        32037        23982         4971         3084
 Standard ML (SML)       1          277          215           36           26
 SVG                    48        20540        20414          126            0
 SWIG                    7           53           35           10            8
 TeX                     4        12436         7912         3609          915
 Plain Text           1016       499114            0       485538        13576
 Vim script              4          314          248           35           31
 Visual Studio Pro|     30        14597        14597            0            0
 Visual Studio Sol|      6          655          650            0            5
 XML                    62        57687        53941          361         3385
===============================================================================
 Total              117879     14130049      8939670      3358598      1831781
===============================================================================
