===============================================================================
 Language            Files        Lines         Code     Comments       Blanks
===============================================================================
 Ada                  6608      1536417       842581       399597       294239
 Alex                  224        19273        16596            0         2677
 Assembly                4         2508         1509          458          541
 GNU Style Assembly    617       108488        79518        18465        10505
 Autoconf              195       171372       138143        12320        20909
 Automake              104        18711        14738         1552         2421
 BASH                    9         1039          705          198          136
 Batch                   2            4            4            0            0
 C                   66959      3423023      2322428       642034       458561
 C Header             3708       985648       659223       194682       131743
 CMake                   3          413          310           44           59
 C#                      9         1615          879          506          230
 C++                 10854      3395574      2367999       590950       436625
 C++ Header            342        51294        29966        12427         8901
 CSS                     1            1            1            0            0
 D                    4518       957623       688180       162082       107361
 FORTRAN Legacy        556        21904        13305         6944         1655
 FORTRAN Modern       7898       344130       248354        52919        42857
 GDB Script              2           18           15            1            2
 Go                   5393      1064137       794523       172050        97564
 Happy                   1          434          378            0           56
 Haskell                60          235          208            0           27
 HTML                  114        28106        27756           35          315
 JSON                   12          493          493            0            0
 Makefile               40         1449          943          195          311
 Markdown              460       502899            0       450650        52249
 Module-Definition     178        62173        54081          451         7641
 MSBuild                 1          141          140            0            1
 OCaml                   1          358          285           37           36
 Objective-C           549        25877        17446         3411         5020
 Objective-C++         383        18030        12092         2412         3526
 Pan                     3         2546         1905          317          324
 Pascal                  4         1443         1016          216          211
 Perl                   19         4617         3080          970          567
 Python                 52        15148        10980         2041         2127
 RPM Specfile           16           86           82            0            4
 ReStructuredText       69        62829        44421            0        18408
 Shell                  83        30845        23230         4660         2955
 Standard ML (SML)       1          277          215           36           26
 SVG                    48        20540        20414          126            0
 SWIG                    3           20            9            9            2
 TeX                     5        10763         6615         3320          828
 Plain Text           1010       467294            0       453904        13390
 Vim script              4          314          248           35           31
 Visual Studio Pro|     30        14597        14597            0            0
 Visual Studio Sol|      6          655          650            0            5
 XML                    61        56786        53045          366         3375
===============================================================================
 Total              111219     13432147      8513306      3190420      1728421
===============================================================================
