===============================================================================
 Language            Files        Lines         Code     Comments       Blanks
===============================================================================
 Ada                  6670      1526407       835694       398878       291835
 Alex                  229        19682        16949            0         2733
 Assembly                4         2508         1509          458          541
 GNU Style Assembly    634       110991        81174        19026        10791
 Autoconf              211       184873       149477        12857        22539
 Automake              113        20364        15919         1804         2641
 BASH                    9         1056          719          198          139
 Batch                   2            4            4            0            0
 C                   79185      4289161      2873994       858948       556219
 C Header             4379      1141571       766770       222165       152636
 CMake                   3          413          310           44           59
 C#                      9         1615          879          506          230
 C++                 11641      3815455      2657304       663270       494881
 C++ Header            343        51983        30465        12495         9023
 CSS                     1            1            1            0            0
 D                    5019       981308       701882       168230       111196
 Dream Maker             1            8            5            0            3
 Emacs Lisp              2          352          253           53           46
 FORTRAN Legacy        565        22413        13727         7006         1680
 FORTRAN Modern       8506       383148       277260        57777        48111
 GDB Script              2           18           15            1            2
 Go                   5394      1064225       794543       172103        97579
 Haskell                70          259          231            0           28
 HTML                  114        28985        28621           35          329
 JSON                   12          493          493            0            0
 Makefile               46         1545         1003          198          344
 Markdown              490       553372            0       496697        56675
 Module-Definition     634       120546        96466          452        23628
 MSBuild                 1          141          140            0            1
 OCaml                   1          358          285           37           36
 Objective-C           549        25884        17454         3408         5022
 Objective-C++         384        18051        12106         2413         3532
 Pan                     4         2811         2135          330          346
 Pascal                  4         1443         1016          216          211
 Perl                   20         4737         3122         1022          593
 Python                 67        19760        14240         2654         2866
 RPM Specfile            5           31           29            0            2
 ReStructuredText       70        61819        43909            0        17910
 Rust                 1042        21404        16085         1587         3732
 Shell                 100        32089        24049         4957         3083
 Standard ML (SML)       1          277          215           36           26
 SVG                    48        20540        20414          126            0
 SWIG                    8           84           55           12           17
 TeX                     4        12436         7912         3609          915
 Plain Text           1020       515375            0       501667        13708
 Vim script              4          314          248           35           31
 Visual Studio Pro|     30        14597        14597            0            0
 Visual Studio Sol|      6          655          650            0            5
 XML                    62        58754        54914          360         3480
===============================================================================
 Total              127718     15134316      9579242      3615670      1939404
===============================================================================
