===============================================================================
 Language            Files        Lines         Code     Comments       Blanks
===============================================================================
 Ada                    10         2840         1681          560          599
 Assembly              307       194054       160680        15193        18181
 GNU Style Assembly    282       165197       137651        10399        17147
 Autoconf              426        54274        39993         7340         6941
 Automake               18         4445         3806          268          371
 BASH                   26         1384          908          280          196
 Batch                  49         2902         2310          191          401
 C                    4137      3015578      2236540       466571       312467
 C Header            16063      3711879      2272333       957602       481944
 CMake                  89        13743         9332         2560         1851
 C#                     29         6160         4723          737          700
 C Shell                 1           55           35            7           13
 CoffeeScript            2           24           13            4            7
 C++                 11904      5890069      4450576       653623       785870
 C++ Header            762       170345       135560        18115        16670
 CSS                  1493       150518       119548         9179        21791
 D                       1           34            8           22            4
 Dockerfile             82         2748         1940          350          458
 Emacs Lisp              2          338          258           38           42
 Elixir                  1           45            6           39            0
 Elm                     2          542          399           32          111
 Fish                    1          100           68           14           18
 FreeMarker            132        12746        10458            0         2288
 GLSL                 1545        56310        35068        10420        10822
 Go                      2          501          326          112           63
 Handlebars             26          339          325            0           14
 Happy                   2         2650         2267            0          383
 Haxe                    2          167          137            5           25
 HLSL                   30         2275         1616          287          372
 HTML                76129      2052871      1815625        99912       137334
 INI                 12720       267486       203528         2016        61942
 Java                  882       246944       158877        63076        24991
 JavaScript          73429      7937688      5276166      1773949       887573
 JSON                 1924      1107350      1106479            0          871
 JSX                   135        24347        21046          988         2313
 Jupyter Notebooks       1            0            0            0            0
 Kotlin                 45        20287        15913         1048         3326
 LLVM                    1          793          772            0           21
 Makefile              520        38676        20428        10851         7397
 Markdown             1247       112293            0        80219        32074
 Meson                  13         2520         1781          403          336
 Module-Definition      60         6875         5271         1404          200
 MSBuild                10          680          546          123           11
 Objective-C            48         2997         2157          360          480
 Objective-C++         221        74559        53844         8883        11832
 OpenType Feature |      1         3834         3110            1          723
 Pan                     5           86           55            7           24
 Pascal                  5         1569         1114          229          226
 Perl                   62        16982        12077         2363         2542
 PHP                     2          864          513          241          110
 PowerShell              5          433          392           17           24
 Prolog                  1           17           15            0            2
 Protocol Buffers       27         5722         2309         2597          816
 Python               6267      1286189      1012464        85677       188048
 R                       1           38           12           18            8
 Rusty Object Nota|     10          458          458            0            0
 RPM Specfile            3          217          153           18           46
 ReStructuredText      906       126770        92233            0        34537
 Ruby                    5          125          103            6           16
 Rust                 8233      2705879      2336209       135155       234515
 Sass                   64         7979         6480          223         1276
 Scons                   2           51           38            1           12
 Shell                 669        85646        60322        14365        10959
 SQL                     2          123           45           56           22
 Stylus                  1            7            5            0            2
 SVG                  4714       166168       139270        19098         7800
 Swift                   1            9            7            0            2
 SWIG                    4         1818         1418          105          295
 TeX                     1        11727         7205         3708          814
 Plain Text           5351      3861796            0      3797250        64546
 TOML                  798        26798        18976         4728         3094
 TSX                     1           41           21            9           11
 TypeScript            127        64096        45945        15559         2592
 VB6                    13          151          150            0            1
 Vim script              2          139          116           16            7
 Visual Studio Pro|     97        35229        35046          183            0
 Visual Studio Sol|     27         2267         2250            0           17
 Vue                    13          100           75            0           25
 WebAssembly            37          330          252           55           23
 XSL                    23          609          512           21           76
 Xcode Config           15          410           87          250           73
 XML                  1152       192634       186842         2437         3355
 YAML                 1475       124420       112170         5549         6701
===============================================================================
 Total              234933     34090359     22389447      8287122      3413790
===============================================================================
