===============================================================================
 Language            Files        Lines         Code     Comments       Blanks
===============================================================================
 Ada                     1           21           16            0            5
 Assembly              232       100403        72942        11095        16366
 GNU Style Assembly    181        85702        69010         7112         9580
 Autoconf              608        78192        57232        10554        10406
 Automake               17         3951         3312          282          357
 BASH                   18          796          431          253          112
 Batch                  30         1740         1420           72          248
 C                    3192      2127910      1535973       342188       249749
 C Header            11098      2342398      1396941       630743       314714
 CMake                   6         1296          752          383          161
 C Shell                 1           42           21            9           12
 CoffeeScript            2           24           13            4            7
 C++                  7802      3982679      3005939       435327       541413
 C++ Header             67        22831        16822         2942         3067
 CSS                   910       102321        77671         6884        17766
 D                       2           57           10           40            7
 Emacs Lisp              2          305          228           37           40
 Fish                    2          140           89           25           26
 GDB Script              1           18           17            0            1
 GLSL                   22          784          371          335           78
 Happy                   3         2323         2120            0          203
 Haxe                    2          167          137            5           25
 HLSL                    7          938          688           71          179
 HTML                31918       825201       746866        34724        43611
 INI                  2030        58073        46617         1028        10428
 Java                 1965       356831       222309        87632        46890
 JavaScript          20266      3029547      2263403       375997       390147
 JSON                  389        72027        71969            0           58
 JSX                    10         6269         4779          795          695
 Makefile              687        40486        20838        11604         8044
 Markdown               98         9777            0         7255         2522
 Module-Definition      42         4835         3813          989           33
 MSBuild                 1           14           14            0            0
 Objective-C            32         5518         4192          523          803
 Objective-C++         178        61725        43911         7669        10145
 Pan                     1          151           85           42           24
 Pascal                  1          126           98           13           15
 Perl                  129        24541        16968         4485         3088
 PHP                     1            2            2            0            0
 PowerShell              2          247          107          111           29
 Protocol Buffers        4          427          219          138           70
 Python               1763       348235       266305        30406        51524
 RPM Specfile            4          307          221           23           63
 ReStructuredText       88        12261         9080            0         3181
 Ruby                    2           61           47            3           11
 Sass                    4          266          224            0           42
 Scons                   1           25           18            1            6
 Shell                 319        83269        60848        13407         9014
 Stylus                  1            7            5            0            2
 SVG                  2427       101707        89512         7765         4430
 SWIG                    3         1720         1362           77          281
 TeX                     1        10079         6097         3231          751
 Plain Text           2672       906430            0       866266        40164
 Visual Studio Pro|     63        53522        53522            0            0
 Visual Studio Sol|     15         1097         1090            0            7
 XSL                    19         1353         1108          118          127
 Xcode Config           15          413           92          247           74
 XML                  1824       105287        92153         5780         7354
 YAML                    6        13201        11673          115         1413
===============================================================================
 Total               91187     14990075     10281702      2908805      1799568
===============================================================================
