===============================================================================
 Language            Files        Lines         Code     Comments       Blanks
===============================================================================
 Ada                    10         2840         1681          560          599
 Assembly              297       180067       147359        14690        18018
 GNU Style Assembly    263       138228       111386        10660        16182
 Autoconf              426        56659        41442         7827         7390
 Automake               18         4734         3997          310          427
 BASH                   44         1814         1112          448          254
 Batch                  57         4284         3595          110          579
 C                    4072      2721184      2017939       403211       300034
 C Header            15277      3184453      1856288       882938       445227
 CMake                  90        13480         9115         2528         1837
 C#                     29         6160         4723          737          700
 C Shell                 2           72           34           14           24
 CoffeeScript            2           24           13            4            7
 C++                 11446      5665853      4282888       624751       758214
 C++ Header            759       165068       131324        17744        16000
 CSS                  1482       139266       110058         9207        20001
 D                       1           34            8           22            4
 Dockerfile             87         2857         1995          402          460
 Emacs Lisp              2          338          258           38           42
 Elixir                  1           45            6           39            0
 Elm                     2          542          399           32          111
 Fish                    2          152           94           26           32
 FreeMarker             97         9772         8056            0         1716
 F*                      4          542          444           20           78
 GLSL                 1528        78203        32876        34893        10434
 Go                      2          489          318          110           61
 Handlebars             22          274          268            0            6
 Happy                   1          104           89            0           15
 Haxe                    2          167          137            5           25
 HLSL                   30         2107         1478          281          348
 HTML                75128      2100438      1821896       146669       131873
 INI                 11525       245574       186979         1931        56664
 Java                  618       164611       106453        40248        17910
 JavaScript          68428      7250227      4733669      1681272       835286
 JSON                 1553       989275       988466            0          809
 JSX                   130        22961        19842          894         2225
 Kotlin                 38        13484        10678          560         2246
 Makefile              718        44934        24602        11766         8566
 Markdown             1057        97558            0        69827        27731
 Meson                   9         1195          753          273          169
 Module-Definition      59         6745         5204         1342          199
 MSBuild                10          680          546          123           11
 Objective-C            48         3002         2162          360          480
 Objective-C++         202        69039        49791         8295        10953
 OpenType Feature |      1         3834         3110            1          723
 Pan                     3           68           48            3           17
 Pascal                  5         1569         1114          229          226
 Perl                   88        20386        14783         2712         2891
 PHP                     2          864          513          241          110
 PowerShell              4          447          204          218           25
 Prolog                  1           17           15            0            2
 Protocol Buffers       23         5309         2029         2522          758
 Python               6590      1392743      1096075        98074       198594
 R                       1           38           12           18            8
 Rusty Object Nota|      1           17           17            0            0
 RPM Specfile            3          217          153           18           46
 ReStructuredText      951       130007        94648            0        35359
 Ruby                    4           92           75            6           11
 Rust                 6134      1989141      1735452        80858       172831
 Sass                   63         6992         5664          184         1144
 Scons                   2           51           38            1           12
 Shell                 670        93781        67020        15187        11574
 Stylus                  1            7            5            0            2
 SVG                  4512       154789       128246        18948         7595
 Swift                   1            9            7            0            2
 SWIG                    4         1818         1418          105          295
 TeX                     1        10079         6097         3231          751
 Plain Text           5180      3863046            0      3795159        67887
 TOML                  665        21237        14905         3910         2422
 TSX                     1           41           21            9           11
 TypeScript             30        34096        24293         9553          250
 VBScript                1          116           84           15           17
 Vim script              1            1            1            0            0
 Visual Studio Pro|     94        34850        34671          179            0
 Visual Studio Sol|     24         2187         2173            0           14
 Vue                    13          100           75            0           25
 WebAssembly            12          294          219           55           20
 XSL                    26         1492         1240          115          137
 Xcode Config           15          410           87          250           73
 XML                  1355       202297       195778         2916         3603
 YAML                 1269       109528        99284         4266         5978
===============================================================================
 Total              223329     31471505     20249995      8014150      3207360
===============================================================================
