===============================================================================
 Language            Files        Lines         Code     Comments       Blanks
===============================================================================
 Assembly              325       276225       240799        16305        19121
 GNU Style Assembly    296       186497       156365        10938        19194
 Autoconf              394        48735        35645         6476         6614
 Automake               17         4205         3608          253          344
 BASH                   24         1960         1344          365          251
 Batch                  34         2375         1934          117          324
 C                    4278      3456013      2536751       570226       349036
 C Header            18239      4283354      2669386      1077009       536959
 CMake                 146        25784        19072         3985         2727
 C#                     20         4545         3844          231          470
 CoffeeScript            2           24           13            4            7
 C++                 14158      6811219      5189876       740760       880583
 C++ Header            838       321316       266809        19401        35106
 CSS                  1457       151811       121362         9348        21101
 D                       1           34            8           22            4
 Dockerfile             75         2403         1745          275          383
 Emacs Lisp              2          338          258           38           42
 Elixir                  1           45            6           39            0
 Elm                     2          542          399           32          111
 FreeMarker            274        27437        22536            0         4901
 F*                      2          575          575            0            0
 Gherkin (Cucumber)      1            9            6            0            3
 GLSL                 1537        56559        35057        10723        10779
 Go                      2          501          326          112           63
 Handlebars             12          100          100            0            0
 Happy                   2         2650         2267            0          383
 HLSL                    2          348          203           76           69
 HTML                87393      2272053      1998710       107993       165350
 INI                 24530       401719       315121         2012        84586
 Java                 1070       282161       185438        67935        28788
 JavaScript          85497      9107269      6156565      1964386       986318
 JSON                 1636       529232       528320            0          912
 JSX                   156        28053        24249         1203         2601
 Kotlin                 93        31621        25516         1694         4411
 LLVM                    1          793          772            0           21
 LD Script               2           22            8           12            2
 Lua                     4           31           22            2            7
 Makefile              489        39174        20792        10894         7488
 Markdown             1558       153999            0       111636        42363
 Meson                  16         3214         2471          364          379
 Module-Definition      60        20907        19204         1476          227
 MSBuild                 9          563          417          134           12
 Nix                     2           21           19            0            2
 Objective-C           113        13620        10129         1252         2239
 Objective-C++         352        93439        68044        10819        14576
 OpenType Feature |      1         3834         3110            1          723
 Pan                     2           32           18            3           11
 Pascal                  1          126           98           13           15
 Perl                   58        16206        11552         2269         2385
 PHP                     2          864          513          241          110
 PowerShell              4          241          214            8           19
 Prolog                  2           42           36            0            6
 Protocol Buffers       38         6552         2646         2894         1012
 Python               7587      1610464      1280745       107733       221986
 R                       1           38           12           18            8
 Rusty Object Nota|      3           57           57            0            0
 RPM Specfile            3          217          153           18           46
 ReStructuredText     2008       324915       246027            0        78888
 Ruby                   20         1519         1077          122          320
 Rust                 9205      2988733      2573600       152588       262545
 Sass                   77        10478         8545          438         1495
 Scons                   2           51           38            1           12
 Shell                 686        90036        63686        14984        11366
 SQL                     3          180           64           84           32
 Stylus                  1            7            5            0            2
 SVG                  4866       168106       141045        19206         7855
 Swift                  37         1738         1293          165          280
 SWIG                    4         1818         1418          105          295
 TeX                     1        11727         7205         3708          814
 Plain Text           5526      4386637            0      4324582        62055
 TOML                  835        41911        31865         5319         4727
 TSX                     1           41           21            9           11
 TypeScript            169        80734        58835        18257         3642
 VB6                    13          151          150            0            1
 Visual Studio Pro|     61        19390        19189          201            0
 Visual Studio Sol|     20         1570         1557            0           13
 Vue                     3           20           15            0            5
 WebAssembly            53           64           61            0            3
 XSL                    23          581          487           18           76
 Xcode Config            9          264           54          169           41
 XML                  1215       193189       187111         2544         3534
 YAML                 1715       247047       229308         8358         9381
===============================================================================
 Total              279377     38853075     25537901      9412603      3902571
===============================================================================
