===============================================================================
 Language            Files        Lines         Code     Comments       Blanks
===============================================================================
 Ada                     1           21           16            0            5
 Assembly              201        95896        72055        10049        13792
 GNU Style Assembly    224       103202        82314         7680        13208
 Autoconf              561        82050        60261        11168        10621
 Automake               17         3978         3329          289          360
 BASH                   19          895          567          219          109
 Batch                  35         2739         2288           83          368
 C                    3237      2152830      1575219       331328       246283
 C Header            12091      2584208      1550747       685446       348015
 CMake                   7         1662          957          498          207
 C Shell                 1           42           21            9           12
 CoffeeScript            2           24           13            4            7
 C++                  8911      4542320      3444864       480198       617258
 C++ Header             76        35624        29250         3121         3253
 CSS                   903       107421        81709         7460        18252
 D                       2           57           10           40            7
 Dockerfile             14          576          393           93           90
 Emacs Lisp              2          305          228           37           40
 Fish                    2          140           89           25           26
 GLSL                   14          618          313          242           63
 Handlebars              5           87           87            0            0
 Happy                   3         2147         1958            0          189
 Haxe                    2          167          137            5           25
 HLSL                    9         1330          958          122          250
 HTML                37585      1008411       911172        43553        53686
 INI                  2733       139563       103365         1053        35145
 Java                 2202       390785       247731        90518        52536
 JavaScript          22973      3506981      2631122       437606       438253
 JSON                  495        99445        99357            0           88
 JSX                    10         6302         4897          708          697
 Makefile              656        38983        19873        11339         7771
 Markdown              146        17252            0        12865         4387
 Module-Definition      45         5068         3987         1024           57
 MSBuild                 2           82           25           48            9
 Objective-C            35         5204         3903          547          754
 Objective-C++         209        70521        50974         8173        11374
 Pascal                  1          126           98           13           15
 Perl                   85        14784        10389         2511         1884
 PHP                     3          866          515          241          110
 PowerShell              2          249          109          111           29
 Protocol Buffers        7         1845          800          766          279
 Python               2739       537925       416929        45108        75888
 RPM Specfile            4          307          221           23           63
 ReStructuredText      199        22989        17113            0         5876
 Ruby                    3           61           47            3           11
 Rust                    5         1918         1570          108          240
 Sass                    3           31           24            0            7
 Scons                   1           25           18            1            6
 Shell                 390        87598        63685        14166         9747
 Stylus                  1            7            5            0            2
 SVG                  3183       132705       109367        16846         6492
 SWIG                    4         1818         1418          105          295
 TeX                     1        10079         6097         3231          751
 Plain Text           2550       968776            0       923433        45343
 Visual Studio Pro|     63        53512        53512            0            0
 Visual Studio Sol|     15         1097         1090            0            7
 XSL                    20         1372         1124          118          130
 Xcode Config           15          413           92          247           74
 XML                  1555       130036       117514         5111         7411
 YAML                  171        19297        17055          391         1851
===============================================================================
 Total              104450     16994772     11802981      3158083      2033708
===============================================================================
