===============================================================================
 Language            Files        Lines         Code     Comments       Blanks
===============================================================================
 AsciiDoc                2          146          108            0           38
 Assembly              319       293947       259049        15759        19139
 GNU Style Assembly    262       207992       174416        12610        20966
 Autoconf              388        47614        35394         6053         6167
 Automake               14         3299         2877          202          220
 BASH                   29         2190         1486          449          255
 Batch                  43         2813         2174          207          432
 C                    4276      3823361      2849732       599727       373902
 C Header            19813      4911078      3062813      1202290       645975
 CMake                 156        31021        23709         4238         3074
 C#                     20         4545         3844          231          470
 CoffeeScript            2           24           13            4            7
 C++                 14668      7351677      5604165       807191       940321
 C++ Header           1282       306374       235695        36026        34653
 CSS                  1785       196394       153927        16683        25784
 D                       1           34            8           22            4
 Dockerfile             76         2343         1658          271          414
 Emacs Lisp              2          338          258           38           42
 Elixir                  1           43            6           37            0
 Elm                     2          542          399           32          111
 FreeMarker            381        78803        63644            0        15159
 F*                      2          589          589            0            0
 Gherkin (Cucumber)      1            9            6            0            3
 GLSL                 1537        58218        36218        11014        10986
 Go                      2          501          326          112           63
 Handlebars             13          264          259            0            5
 Happy                   2         2650         2267            0          383
 HLSL                    2          411          253           77           81
 HTML               101247      2506233      2199716       128868       177649
 INI                 26464      1163321       792926          437       369958
 Java                 1060       283595       185141        69710        28744
 JavaScript          95538     11218392      7722929      2281263      1214200
 JSON                 2679      2915415      2914462            0          953
 JSX                   253        41170        35587         1763         3820
 Kotlin               4639       749366       569650        79392       100324
 LLVM                    1          793          772            0           21
 LD Script               2           22            8           12            2
 Makefile              466        37326        19445        10626         7255
 Markdown             2314       247753            0       178772        68981
 Meson                  19         4630         3641          423          566
 Module-Definition      59        27828        25939         1581          308
 MSBuild                10          583          430          141           12
 Nix                     2           58           56            0            2
 Objective-C           108        14040        10556         1236         2248
 Objective-C++         360        94086        69169        10732        14185
 OpenType Feature |      1         3834         3110            1          723
 Pan                     3           29           17            3            9
 Pascal                  1          126           98           13           15
 Perl                   56        16729        12098         2233         2398
 PHP                     2          864          513          241          110
 PowerShell              3          218          198            5           15
 Prolog                117         2585         2207            0          378
 Protocol Buffers       46         7679         3083         3397         1199
 Python              10040      2113639      1696331       129344       287964
 R                       1           38           12           18            8
 Rusty Object Nota|      3           57           57            0            0
 RPM Specfile            3          217          153           18           46
 ReStructuredText     2205       356453       263414            0        93039
 Ruby                   16         1399         1003          121          275
 Rust                12463      4401847      3872589       176757       352501
 Sass                   80        15052        11944          564         2544
 Scons                   1           25           18            1            6
 Shell                 694        91945        64571        15674        11700
 SQL                     3          180           64           84           32
 Stylus                  1            7            5            0            2
 Svelte                  4           65           54            2            9
 SVG                  5281       186124       158249        19748         8127
 Swift                  40         2192         1753          151          288
 SWIG                    3         1720         1362           77          281
 TeX                     1        11727         7205         3708          814
 Plain Text           6126      4456944            0      4367473        89471
 TOML                 2456       188538       142185         9454        36899
 TSX                     1           41           21            9           11
 TypeScript           1756       474976       381542        53486        39948
 VB6                    13          151          150            0            1
 Visual Studio Pro|     53        18219        18018          201            0
 Visual Studio Sol|     18         1458         1445            0           13
 Vue                    44          205          166            0           39
 WebAssembly            55           78           75            0            3
 XSL                    27          655          555           18           82
 Xcode Config            3          118           21           88            9
 XML                  7023       987789       641859       337287         8643
 YAML                 2461       547095       519370        12393        15332
===============================================================================
 Total              331406     50522849     34871235     10610798      5040816
===============================================================================
