===============================================================================
 Language            Files        Lines         Code     Comments       Blanks
===============================================================================
 Assembly              319       293972       258992        15814        19166
 GNU Style Assembly    260       207828       174463        12552        20813
 Autoconf              390        47652        35436         6031         6185
 Automake               14         3299         2877          202          220
 BASH                   29         2459         1676          473          310
 Batch                  44         2840         2200          205          435
 C                    4322      3756101      2795962       590212       369927
 C Header            19369      4721857      2948613      1157782       615462
 CMake                 157        30269        22970         4259         3040
 C#                     20         4545         3844          231          470
 CoffeeScript            2           24           13            4            7
 C++                 14442      7207139      5491056       791756       924327
 C++ Header           1082       284184       220500        33844        29840
 CSS                  1777       193917       151243        16713        25961
 D                       1           34            8           22            4
 Dockerfile             76         2483         1743          304          436
 Emacs Lisp              2          338          258           38           42
 Elixir                  1           43            6           37            0
 Elm                     2          542          399           32          111
 FreeMarker            248        24203        19663            0         4540
 F*                      2          589          589            0            0
 Gherkin (Cucumber)      1            9            6            0            3
 GLSL                 1537        58102        36141        10994        10967
 Go                      2          501          326          112           63
 Handlebars             12          100          100            0            0
 Happy                   2         2650         2267            0          383
 HLSL                    2          348          203           76           69
 HTML                97840      2436444      2137580       125459       173405
 INI                 25897       705959       491010          422       214527
 Java                 1042       280951       183614        68796        28541
 JavaScript          93803     10809312      7496714      2174160      1138438
 JSON                 2601      2659498      2658552            0          946
 JSX                   235        34689        30125         1441         3123
 Kotlin               4218       671650       508843        71388        91419
 LLVM                    1          793          772            0           21
 LD Script               2           22            8           12            2
 Makefile              467        37626        19725        10608         7293
 Markdown             2193       223196            0       161320        61876
 Meson                  18         4462         3487          423          552
 Module-Definition      57        25091        23230         1555          306
 MSBuild                10          583          430          141           12
 Nix                     4           79           75            0            4
 Objective-C           112        13611        10147         1221         2243
 Objective-C++         357        92159        67300        10653        14206
 OpenType Feature |      1         3834         3110            1          723
 Pan                     2           26           16            2            8
 Pascal                  1          126           98           13           15
 Perl                   56        16723        12124         2227         2372
 PHP                     2          864          513          241          110
 PowerShell              3          218          198            5           15
 Prolog                118         2605         2225            0          380
 Protocol Buffers       43         7057         2921         3035         1101
 Python               9497      2032689      1639887       121748       271054
 R                       1           38           12           18            8
 Rusty Object Nota|      3           57           57            0            0
 RPM Specfile            3          217          153           18           46
 ReStructuredText     2171       342073       254160            0        87913
 Ruby                   21         1674         1194          137          343
 Rust                11421      4103491      3593919       188830       320742
 Sass                   82        15310        12239          662         2409
 Scons                   1           25           18            1            6
 Shell                 693        93365        65808        15779        11778
 SQL                     3          180           64           84           32
 Stylus                  1            7            5            0            2
 Svelte                  4           65           54            2            9
 SVG                  5255       185673       157836        19741         8096
 Swift                  46         2481         1917          210          354
 SWIG                    3         1720         1362           77          281
 TeX                     1        11727         7205         3708          814
 Plain Text           6006      4431781            0      4342418        89363
 TOML                 2368       174280       130722         8879        34679
 TSX                     1           41           21            9           11
 TypeScript           1646       443106       356292        50408        36406
 VB6                    13          151          150            0            1
 Visual Studio Pro|     53        18219        18018          201            0
 Visual Studio Sol|     18         1458         1445            0           13
 Vue                    44          205          166            0           39
 WebAssembly            55           78           75            0            3
 XSL                    25          624          527           18           79
 Xcode Config            3          118           21           88            9
 XML                  6776       943952       631013       238558        74381
 YAML                 2259       495501       471499        11017        12985
===============================================================================
 Total              321671     48173912     33170210     10277427      4726275
===============================================================================
