===============================================================================
 Language            Files        Lines         Code     Comments       Blanks
===============================================================================
 Ada                    10         2840         1681          560          599
 Assembly              281       150498       120479        13756        16263
 GNU Style Assembly    230       109105        86492         8871        13742
 Autoconf              433        60730        44812         8053         7865
 Automake               18         4680         3944          311          425
 BASH                   26         1293          839          277          177
 Batch                  69         5838         4441          504          893
 C                    4038      2726549      2059387       371729       295433
 C Header            14858      3051435      1782232       838966       430237
 CMake                  85        14076         9454         2823         1799
 C#                     29         6160         4723          737          700
 C Shell                 2           72           34           14           24
 CoffeeScript            2           24           13            4            7
 C++                 11101      5420529      4096655       593851       730023
 C++ Header            693       126646       100269        14344        12033
 CSS                  1376       127495       100022         8327        19146
 D                       1           34            8           22            4
 Dockerfile             84         2475         1778          283          414
 Emacs Lisp              2          338          258           38           42
 Elixir                  1           45            6           39            0
 Elm                     2          542          399           32          111
 Fish                    2          152           94           26           32
 FreeMarker             47         3928         3029            0          899
 F*                      4          542          444           20           78
 GLSL                 1514        77224        32183        34709        10332
 Go                      2          486          315          110           61
 Handlebars             22          274          268            0            6
 Happy                   3         2045         1869            0          176
 Haxe                    2          167          137            5           25
 HLSL                   26         1476          989          262          225
 HTML                68840      1914252      1647982       144526       121744
 INI                 10673       231299       175624         1483        54192
 Java                 3014       541820       344978       126422        70420
 JavaScript          63516      6383935      4047487      1562523       773925
 JSON                 1409      1596699      1596011            0          688
 JSX                    75        10763         8969          523         1271
 Kotlin                 21         7894         6312          255         1327
 Makefile              726        46297        25831        11754         8712
 Markdown              789        79624            0        57286        22338
 Meson                   7          857          525          210          122
 Module-Definition      53         6015         4693         1203          119
 MSBuild                 8          530          431           88           11
 Objective-C            65         5220         3746          642          832
 Objective-C++         278        82490        61196         8980        12314
 OpenType Feature |      1         3834         3110            1          723
 Pan                     1           36           30            0            6
 Pascal                  5         1569         1114          229          226
 Perl                   90        20389        14776         2725         2888
 PHP                     2          864          513          241          110
 PowerShell              3          323           82          217           24
 Prolog                  1           17           15            0            2
 Protocol Buffers       23         5309         2029         2522          758
 Python               6427      1354645      1064276        97237       193132
 R                       1           38           12           18            8
 Rusty Object Nota|      1           17           17            0            0
 RPM Specfile            3          217          153           18           46
 Rakefile                1           11            9            0            2
 ReStructuredText      886       121570        88430            0        33140
 Ruby                    6          269          225           11           33
 Rust                 4548      1574828      1378693        68451       127684
 Sass                   40         4261         3492          113          656
 Scons                   2           51           38            1           12
 Shell                 682        92419        65665        15266        11488
 Stylus                  1            7            5            0            2
 SVG                  4207       167560       141877        18272         7411
 Swift                   1            9            7            0            2
 SWIG                    4         1818         1418          105          295
 TeX                     1        10079         6097         3231          751
 Plain Text           3166      1602756            0      1547219        55537
 TOML                  500        14944        10434         2763         1747
 TypeScript             23        33042        23580         9354          108
 VBScript                1          116           84           15           17
 Vim script              6            8            7            1            0
 Visual Studio Pro|     81        32404        32309           77           18
 Visual Studio Sol|     21         1759         1750            0            9
 Vue                    12           92           69            0           23
 WebAssembly             3          716          663           11           42
 XSL                    26         1750         1444          145          161
 Xcode Config           15          410           87          250           73
 XML                  2232       210012       195455         6267         8290
 YAML                 1088        80627        75064         1666         3897
===============================================================================
 Total              208548     28144169     19494068      5590994      3059107
===============================================================================
