===============================================================================
 Language            Files        Lines         Code     Comments       Blanks
===============================================================================
 Assembly              316       244661       209746        15959        18956
 GNU Style Assembly    293       179589       150958        10123        18508
 Autoconf              385        50207        36487         6933         6787
 Automake               16         4088         3528          232          328
 BASH                   28         2180         1505          391          284
 Batch                  39         2655         2109          189          357
 C                    4238      3154384      2336644       488431       329309
 C Header            16997      3889945      2373479      1009555       506911
 CMake                 130        22171        16321         3473         2377
 C#                     20         4545         3844          231          470
 C Shell                 1           55           35            7           13
 CoffeeScript            2           24           13            4            7
 C++                 12968      6291826      4781046       689331       821449
 C++ Header            754       264976       212578        17686        34712
 CSS                  1492       147958       117873         9157        20928
 D                       1           34            8           22            4
 Dockerfile             77         2493         1788          296          409
 Emacs Lisp              2          338          258           38           42
 Elixir                  1           45            6           39            0
 Elm                     2          542          399           32          111
 Fish                    1          100           68           14           18
 FreeMarker            164        15034        12256            0         2778
 Gherkin (Cucumber)      1            9            6            0            3
 GLSL                 1536        56545        35066        10695        10784
 Go                      2          501          326          112           63
 Handlebars             18          207          202            0            5
 Happy                   2         2650         2267            0          383
 HLSL                    2          348          203           76           69
 HTML                81095      2143318      1896444       103385       143489
 INI                 13823       307927       232794         1930        73203
 Java                  995       265950       173767        65185        26998
 JavaScript          77100      8612875      5861199      1825050       926626
 JSON                 1651      1568023      1567118            0          905
 JSX                   136        24547        21193         1034         2320
 Kotlin                 46        22801        17790         1215         3796
 LLVM                    1          793          772            0           21
 Makefile              509        38464        20252        10887         7325
 Markdown             1352       127893            0        92185        35708
 Meson                  13         2897         2205          342          350
 Module-Definition      60        19631        17953         1452          226
 MSBuild                 9          563          417          134           12
 Nix                     2           21           19            0            2
 Objective-C            57         3390         2396          446          548
 Objective-C++         221        72873        52526         8766        11581
 OpenType Feature |      1         3834         3110            1          723
 Pan                     3           35           19            4           12
 Pascal                  1          126           98           13           15
 Perl                   60        16755        11916         2340         2499
 PHP                     2          864          513          241          110
 PowerShell              6          483          436           17           30
 Prolog                  1           17           15            0            2
 Protocol Buffers       33         6372         2531         2849          992
 Python               7399      1596715      1268135       108052       220528
 R                       1           38           12           18            8
 Rusty Object Nota|      6          109          109            0            0
 RPM Specfile            3          217          153           18           46
 ReStructuredText     1188       169449       121255            0        48194
 Ruby                    5          126          104            6           16
 Rust                 8274      2784202      2399721       141347       243134
 Sass                   67         9603         7831          408         1364
 Scons                   2           51           38            1           12
 Shell                 665        88368        62450        14737        11181
 SQL                     2          123           45           56           22
 Stylus                  1            7            5            0            2
 SVG                  4680       164051       137315        18916         7820
 Swift                   1            9            7            0            2
 SWIG                    4         1818         1418          105          295
 TeX                     1        11727         7205         3708          814
 Plain Text           5464      4312336            0      4253054        59282
 TOML                  748        30811        22557         5168         3086
 TSX                     1           41           21            9           11
 TypeScript            136        66083        47198        16121         2764
 VB6                    13          151          150            0            1
 Visual Studio Pro|     60        19049        18860          189            0
 Visual Studio Sol|     19         1524         1512            0           12
 Vue                     3           20           15            0            5
 WebAssembly            77        67672        67613           25           34
 XSL                    23          609          512           21           76
 Xcode Config            9          264           54          169           41
 XML                  1165       191230       185536         2362         3332
 YAML                 1621       227882       212251         7141         8490
===============================================================================
 Total              248303     37322847     24746584      8952133      3624130
===============================================================================
