===============================================================================
 Language            Files        Lines         Code     Comments       Blanks
===============================================================================
 Ada                     1           21           16            0            5
 Assembly              232       126989        99957        11647        15385
 GNU Style Assembly    219       103045        82126         7751        13168
 Autoconf              461        71491        52916         9404         9171
 Automake               16         4001         3393          266          342
 BASH                   21          774          474          201           99
 Batch                  41         3841         3230          101          510
 C                    3403      2258573      1673427       336806       248340
 C Header            13109      2807646      1691200       738764       377682
 CMake                   8         1804         1081          501          222
 C Shell                 1           36           17            7           12
 CoffeeScript            4           64           34           12           18
 C++                  9776      4985570      3793218       519731       672621
 C++ Header             79        38345        30919         4142         3284
 CSS                   963       106759        81063         7690        18006
 D                       2           57           10           40            7
 Dockerfile             23         1084          674          217          193
 Emacs Lisp              2          338          258           38           42
 Fish                    2          142           88           23           31
 GLSL                 2952       144788        57710        68035        19043
 Go                      2          485          314          110           61
 Handlebars              5          112          111            0            1
 Happy                   3         2102         1918            0          184
 Haxe                    2          167          137            5           25
 HLSL                    9         1405         1042          119          244
 HTML                45258      1393845      1182793       124747        86305
 INI                  3673       174489       131881         1286        41322
 Java                 2220       378823       239196        87475        52152
 JavaScript          25355      3831960      2827177       512178       492605
 JSON                  639       111061       110757            0          304
 Makefile              662        39652        20469        11300         7883
 Markdown              207        22661            0        16930         5731
 Module-Definition      47         4454         3306         1086           62
 MSBuild                 2           82           25           48            9
 Objective-C            60         4711         3333          625          753
 Objective-C++         206        70995        51619         8063        11313
 Pascal                  1          126           98           13           15
 Perl                   86        15019        10550         2558         1911
 PHP                     2          864          513          241          110
 PowerShell              2          249          109          111           29
 Protocol Buffers        8         2681         1180         1055          446
 Python               3630       691286       538258        54882        98146
 R                       1           38           12           18            8
 RPM Specfile            3          235          168           18           49
 ReStructuredText      385        46348        33662            0        12686
 Ruby                    3           61           47            3           11
 Rust                   13         4535         3763          254          518
 Sass                    4           41           31            0           10
 Scons                   1           25           18            1            6
 Shell                 458        81275        58491        13387         9397
 Stylus                  1            7            5            0            2
 SVG                  3366       135071       111119        17334         6618
 Swift                   1            9            7            0            2
 SWIG                    4         1818         1418          105          295
 TeX                     1        10079         6097         3231          751
 Plain Text           2858      1028133            0       988766        39367
 TOML                   13          229          182           18           29
 VBScript                1          116           84           15           17
 Vim script              1            1            1            0            0
 Visual Studio Pro|     60        53257        53257            0            0
 Visual Studio Sol|     15         1116         1109            0            7
 WebAssembly            41        15768        14503          320          945
 XSL                    22         1389         1141          118          130
 Xcode Config           15          414           93          247           74
 XML                  1465       142483       130425         4745         7313
 YAML                   59        17202        15049          435         1718
===============================================================================
 Total              122185     18942247     13127279      3557223      2257745
===============================================================================
