===============================================================================
 Language            Files        Lines         Code     Comments       Blanks
===============================================================================
 Assembly              324       287533       251989        16341        19203
 GNU Style Assembly    266       182894       154262        11046        17586
 Autoconf              392        48444        35462         6415         6567
 Automake               16         4002         3467          217          318
 BASH                   29         2444         1681          456          307
 Batch                  43         2598         1999          213          386
 C                    4230      3646968      2715273       575157       356538
 C Header            18893      4363808      2710855      1091909       561044
 CMake                 148        27654        20931         3924         2799
 C#                     20         4545         3844          231          470
 CoffeeScript            2           24           13            4            7
 C++                 14130      6899164      5253901       754734       890529
 C++ Header           1064       252959       198201        28612        26146
 CSS                  1692       189329       148829        15666        24834
 D                       1           34            8           22            4
 Dockerfile             97         2904         2133          308          463
 Emacs Lisp              2          338          258           38           42
 Elixir                  1           45            6           39            0
 Elm                     2          542          399           32          111
 FreeMarker            238        21426        17419            0         4007
 F*                      2          589          589            0            0
 Gherkin (Cucumber)      1            9            6            0            3
 GLSL                 1534        57080        35437        10780        10863
 Go                      2          501          326          112           63
 Handlebars             12          100          100            0            0
 Happy                   2         2650         2267            0          383
 HLSL                    2          348          203           76           69
 HTML                93056      2403895      2118785       112068       173042
 INI                 24737       829674       664874         1115       163685
 Java                 1021       276984       180773        68151        28060
 JavaScript          91834     10193522      6998327      2111212      1083983
 JSON                 2496      2705485      2704538            0          947
 JSX                   213        28773        24922         1189         2662
 Kotlin                102        36266        29312         1961         4993
 LLVM                    1          793          772            0           21
 LD Script               2           22            8           12            2
 Makefile              510        39220        20669        10966         7585
 Markdown             1803       182344            0       132713        49631
 Meson                  16         3396         2620          372          404
 Module-Definition      59        25346        23464         1571          311
 MSBuild                10          577          426          139           12
 Nix                     3           41           37            0            4
 Objective-C           113        13400         9970         1220         2210
 Objective-C++         338        89404        65176        10432        13796
 OpenType Feature |      1         3834         3110            1          723
 Pan                     2           26           16            2            8
 Pascal                  1          126           98           13           15
 Perl                   59        16798        12013         2312         2473
 PHP                     2          864          513          241          110
 PowerShell              3          218          198            5           15
 Prolog                  2           42           36            0            6
 Protocol Buffers       40         6955         2859         3014         1082
 Python               8362      1742185      1392869       109050       240266
 R                       1           38           12           18            8
 Rusty Object Nota|      3           57           57            0            0
 RPM Specfile            3          217          153           18           46
 ReStructuredText     2139       336597       248712            0        87885
 Ruby                   21         1614         1141          137          336
 Rust                10409      3877728      3430740       166138       280850
 Sass                   76        10941         8797          514         1630
 Scons                   1           25           18            1            6
 Shell                 674        90303        63847        15032        11424
 SQL                     3          180           64           84           32
 Stylus                  1            7            5            0            2
 Svelte                  4           65           54            2            9
 SVG                  5009       170856       143508        19400         7948
 Swift                  40         2063         1549          183          331
 SWIG                    4         1818         1418          105          295
 TeX                     1        11727         7205         3708          814
 Plain Text           5684      4611497            0      4548686        62811
 TOML                 2139       138211       102881         7695        27635
 TSX                     1           41           21            9           11
 TypeScript           1269       314438       244455        45309        24674
 VB6                    13          151          150            0            1
 Visual Studio Pro|     53        18258        18057          201            0
 Visual Studio Sol|     18         1480         1467            0           13
 Vue                    44          205          166            0           39
 WebAssembly            55           78           75            0            3
 XSL                    24          606          510           18           78
 Xcode Config            3          118           21           88            9
 XML                  1212       349699       343667         2504         3528
 YAML                 1823       387739       366154         9170        12415
===============================================================================
 Total              298658     44925879     30801147      9903111      4221621
===============================================================================
